Grupo A
Libro_112939, ID: 112939, Suma ID: 25, ID EN BINARIO: 11011100100101011, ID EN HEXADECIMAL: 1B92B, FACTORIAL SUMA: 7034535277573963776
Libro_115296, ID: 115296, Suma ID: 24, ID EN BINARIO: 11100001001100000, ID EN HEXADECIMAL: 1C260, FACTORIAL SUMA: 10611558092380307456
Libro_125176, ID: 125176, Suma ID: 22, ID EN BINARIO: 11110100011111000, ID EN HEXADECIMAL: 1E8F8, FACTORIAL SUMA: 17196083355034583040
Libro_125211, ID: 125211, Suma ID: 12, ID EN BINARIO: 11110100100011011, ID EN HEXADECIMAL: 1E91B, FACTORIAL SUMA: 479001600
Libro_126385, ID: 126385, Suma ID: 25, ID EN BINARIO: 11110110110110001, ID EN HEXADECIMAL: 1EDB1, FACTORIAL SUMA: 7034535277573963776
Libro_127182, ID: 127182, Suma ID: 21, ID EN BINARIO: 11111000011001110, ID EN HEXADECIMAL: 1F0CE, FACTORIAL SUMA: 14197454024290336768
Libro_128561, ID: 128561, Suma ID: 23, ID EN BINARIO: 11111011000110001, ID EN HEXADECIMAL: 1F631, FACTORIAL SUMA: 8128291617894825984
Libro_133491, ID: 133491, Suma ID: 21, ID EN BINARIO: 100000100101110011, ID EN HEXADECIMAL: 20973, FACTORIAL SUMA: 14197454024290336768
Libro_134249, ID: 134249, Suma ID: 23, ID EN BINARIO: 100000110001101001, ID EN HEXADECIMAL: 20C69, FACTORIAL SUMA: 8128291617894825984
Libro_137335, ID: 137335, Suma ID: 22, ID EN BINARIO: 100001100001110111, ID EN HEXADECIMAL: 21877, FACTORIAL SUMA: 17196083355034583040
Libro_139284, ID: 139284, Suma ID: 27, ID EN BINARIO: 100010000000010100, ID EN HEXADECIMAL: 22014, FACTORIAL SUMA: 12963097176472289280
Libro_144121, ID: 144121, Suma ID: 13, ID EN BINARIO: 100011001011111001, ID EN HEXADECIMAL: 232F9, FACTORIAL SUMA: 6227020800
Libro_144424, ID: 144424, Suma ID: 19, ID EN BINARIO: 100011010000101000, ID EN HEXADECIMAL: 23428, FACTORIAL SUMA: 121645100408832000
Libro_147454, ID: 147454, Suma ID: 25, ID EN BINARIO: 100011111111111110, ID EN HEXADECIMAL: 23FFE, FACTORIAL SUMA: 7034535277573963776
Libro_149993, ID: 149993, Suma ID: 35, ID EN BINARIO: 100100100111101001, ID EN HEXADECIMAL: 249E9, FACTORIAL SUMA: 6399018521010896896
Libro_151784, ID: 151784, Suma ID: 26, ID EN BINARIO: 100101000011101000, ID EN HEXADECIMAL: 250E8, FACTORIAL SUMA: 16877220553537093632
Libro_153245, ID: 153245, Suma ID: 20, ID EN BINARIO: 100101011010011101, ID EN HEXADECIMAL: 2569D, FACTORIAL SUMA: 2432902008176640000
Libro_156159, ID: 156159, Suma ID: 27, ID EN BINARIO: 100110000111111111, ID EN HEXADECIMAL: 261FF, FACTORIAL SUMA: 12963097176472289280
Libro_162458, ID: 162458, Suma ID: 26, ID EN BINARIO: 100111101010011010, ID EN HEXADECIMAL: 27A9A, FACTORIAL SUMA: 16877220553537093632
Libro_163497, ID: 163497, Suma ID: 30, ID EN BINARIO: 100111111010101001, ID EN HEXADECIMAL: 27EA9, FACTORIAL SUMA: 9682165104862298112
Libro_165251, ID: 165251, Suma ID: 20, ID EN BINARIO: 101000010110000011, ID EN HEXADECIMAL: 28583, FACTORIAL SUMA: 2432902008176640000
Libro_165957, ID: 165957, Suma ID: 33, ID EN BINARIO: 101000100001000101, ID EN HEXADECIMAL: 28845, FACTORIAL SUMA: 3400198294675128320
Libro_169262, ID: 169262, Suma ID: 26, ID EN BINARIO: 101001010100101110, ID EN HEXADECIMAL: 2952E, FACTORIAL SUMA: 16877220553537093632
Libro_172639, ID: 172639, Suma ID: 28, ID EN BINARIO: 101010001001011111, ID EN HEXADECIMAL: 2A25F, FACTORIAL SUMA: 12478583540742619136
Libro_176842, ID: 176842, Suma ID: 28, ID EN BINARIO: 101011001011001010, ID EN HEXADECIMAL: 2B2CA, FACTORIAL SUMA: 12478583540742619136
Libro_177336, ID: 177336, Suma ID: 27, ID EN BINARIO: 101011010010111000, ID EN HEXADECIMAL: 2B4B8, FACTORIAL SUMA: 12963097176472289280
Libro_177536, ID: 177536, Suma ID: 29, ID EN BINARIO: 101011010110000000, ID EN HEXADECIMAL: 2B580, FACTORIAL SUMA: 11390785281054474240
Libro_178512, ID: 178512, Suma ID: 24, ID EN BINARIO: 101011100101010000, ID EN HEXADECIMAL: 2B950, FACTORIAL SUMA: 10611558092380307456
Libro_178617, ID: 178617, Suma ID: 30, ID EN BINARIO: 101011100110111001, ID EN HEXADECIMAL: 2B9B9, FACTORIAL SUMA: 9682165104862298112
Libro_178886, ID: 178886, Suma ID: 38, ID EN BINARIO: 101011101011000110, ID EN HEXADECIMAL: 2BAC6, FACTORIAL SUMA: 4789013295250014208
Libro_179593, ID: 179593, Suma ID: 34, ID EN BINARIO: 101011110110001001, ID EN HEXADECIMAL: 2BD89, FACTORIAL SUMA: 4926277576697053184
Libro_181372, ID: 181372, Suma ID: 22, ID EN BINARIO: 101100010001111100, ID EN HEXADECIMAL: 2C47C, FACTORIAL SUMA: 17196083355034583040
Libro_183615, ID: 183615, Suma ID: 24, ID EN BINARIO: 101100110100111111, ID EN HEXADECIMAL: 2CD3F, FACTORIAL SUMA: 10611558092380307456
Libro_184741, ID: 184741, Suma ID: 25, ID EN BINARIO: 101101000110100101, ID EN HEXADECIMAL: 2D1A5, FACTORIAL SUMA: 7034535277573963776
Libro_185456, ID: 185456, Suma ID: 29, ID EN BINARIO: 101101010001110000, ID EN HEXADECIMAL: 2D470, FACTORIAL SUMA: 11390785281054474240
Libro_185637, ID: 185637, Suma ID: 30, ID EN BINARIO: 101101010100100101, ID EN HEXADECIMAL: 2D525, FACTORIAL SUMA: 9682165104862298112
Libro_192376, ID: 192376, Suma ID: 28, ID EN BINARIO: 101110111101111000, ID EN HEXADECIMAL: 2EF78, FACTORIAL SUMA: 12478583540742619136
Libro_196781, ID: 196781, Suma ID: 32, ID EN BINARIO: 110000000010101101, ID EN HEXADECIMAL: 300AD, FACTORIAL SUMA: 12400865694432886784
Libro_199732, ID: 199732, Suma ID: 31, ID EN BINARIO: 110000110000110100, ID EN HEXADECIMAL: 30C34, FACTORIAL SUMA: 4999213071378415616
Libro_212615, ID: 212615, Suma ID: 17, ID EN BINARIO: 110011111010000111, ID EN HEXADECIMAL: 33E87, FACTORIAL SUMA: 355687428096000
Libro_212879, ID: 212879, Suma ID: 29, ID EN BINARIO: 110011111110001111, ID EN HEXADECIMAL: 33F8F, FACTORIAL SUMA: 11390785281054474240
Libro_212948, ID: 212948, Suma ID: 26, ID EN BINARIO: 110011111111010100, ID EN HEXADECIMAL: 33FD4, FACTORIAL SUMA: 16877220553537093632
Libro_213324, ID: 213324, Suma ID: 15, ID EN BINARIO: 110100000101001100, ID EN HEXADECIMAL: 3414C, FACTORIAL SUMA: 1307674368000
Libro_213677, ID: 213677, Suma ID: 26, ID EN BINARIO: 110100001010101101, ID EN HEXADECIMAL: 342AD, FACTORIAL SUMA: 16877220553537093632
Libro_216331, ID: 216331, Suma ID: 16, ID EN BINARIO: 110100110100001011, ID EN HEXADECIMAL: 34D0B, FACTORIAL SUMA: 20922789888000
Libro_216692, ID: 216692, Suma ID: 26, ID EN BINARIO: 110100111001110100, ID EN HEXADECIMAL: 34E74, FACTORIAL SUMA: 16877220553537093632
Libro_216985, ID: 216985, Suma ID: 31, ID EN BINARIO: 110100111110011001, ID EN HEXADECIMAL: 34F99, FACTORIAL SUMA: 4999213071378415616
Libro_229432, ID: 229432, Suma ID: 22, ID EN BINARIO: 111000000000111000, ID EN HEXADECIMAL: 38038, FACTORIAL SUMA: 17196083355034583040
Libro_236974, ID: 236974, Suma ID: 31, ID EN BINARIO: 111001110110101110, ID EN HEXADECIMAL: 39DAE, FACTORIAL SUMA: 4999213071378415616
Libro_246142, ID: 246142, Suma ID: 19, ID EN BINARIO: 111100000101111110, ID EN HEXADECIMAL: 3C17E, FACTORIAL SUMA: 121645100408832000
Libro_248954, ID: 248954, Suma ID: 32, ID EN BINARIO: 111100110001111010, ID EN HEXADECIMAL: 3CC7A, FACTORIAL SUMA: 12400865694432886784
Libro_253997, ID: 253997, Suma ID: 35, ID EN BINARIO: 111110000000101101, ID EN HEXADECIMAL: 3E02D, FACTORIAL SUMA: 6399018521010896896
Libro_254641, ID: 254641, Suma ID: 22, ID EN BINARIO: 111110001010110001, ID EN HEXADECIMAL: 3E2B1, FACTORIAL SUMA: 17196083355034583040
Libro_255538, ID: 255538, Suma ID: 28, ID EN BINARIO: 111110011000110010, ID EN HEXADECIMAL: 3E632, FACTORIAL SUMA: 12478583540742619136
Libro_257225, ID: 257225, Suma ID: 23, ID EN BINARIO: 111110110011001001, ID EN HEXADECIMAL: 3ECC9, FACTORIAL SUMA: 8128291617894825984
Libro_262916, ID: 262916, Suma ID: 26, ID EN BINARIO: 1000000001100000100, ID EN HEXADECIMAL: 40304, FACTORIAL SUMA: 16877220553537093632
Libro_263782, ID: 263782, Suma ID: 28, ID EN BINARIO: 1000000011001100110, ID EN HEXADECIMAL: 40666, FACTORIAL SUMA: 12478583540742619136
Libro_264535, ID: 264535, Suma ID: 25, ID EN BINARIO: 1000000100101010111, ID EN HEXADECIMAL: 40957, FACTORIAL SUMA: 7034535277573963776
Libro_264728, ID: 264728, Suma ID: 29, ID EN BINARIO: 1000000101000011000, ID EN HEXADECIMAL: 40A18, FACTORIAL SUMA: 11390785281054474240
Libro_271679, ID: 271679, Suma ID: 32, ID EN BINARIO: 1000010010100111111, ID EN HEXADECIMAL: 4253F, FACTORIAL SUMA: 12400865694432886784
Libro_272281, ID: 272281, Suma ID: 22, ID EN BINARIO: 1000010011110011001, ID EN HEXADECIMAL: 42799, FACTORIAL SUMA: 17196083355034583040
Libro_272431, ID: 272431, Suma ID: 19, ID EN BINARIO: 1000010100000101111, ID EN HEXADECIMAL: 4282F, FACTORIAL SUMA: 121645100408832000
Libro_284695, ID: 284695, Suma ID: 34, ID EN BINARIO: 1000101100000010111, ID EN HEXADECIMAL: 45817, FACTORIAL SUMA: 4926277576697053184
Libro_286646, ID: 286646, Suma ID: 32, ID EN BINARIO: 1000101111110110110, ID EN HEXADECIMAL: 45FB6, FACTORIAL SUMA: 12400865694432886784
Libro_288376, ID: 288376, Suma ID: 34, ID EN BINARIO: 1000110011001111000, ID EN HEXADECIMAL: 46678, FACTORIAL SUMA: 4926277576697053184
Libro_288818, ID: 288818, Suma ID: 35, ID EN BINARIO: 1000110100000110010, ID EN HEXADECIMAL: 46832, FACTORIAL SUMA: 6399018521010896896
Libro_293374, ID: 293374, Suma ID: 28, ID EN BINARIO: 1000111100111111110, ID EN HEXADECIMAL: 479FE, FACTORIAL SUMA: 12478583540742619136
Libro_298299, ID: 298299, Suma ID: 39, ID EN BINARIO: 1001000110100111011, ID EN HEXADECIMAL: 48D3B, FACTORIAL SUMA: 2304077777655037952
Libro_311147, ID: 311147, Suma ID: 17, ID EN BINARIO: 1001011111101101011, ID EN HEXADECIMAL: 4BF6B, FACTORIAL SUMA: 355687428096000
Libro_315684, ID: 315684, Suma ID: 27, ID EN BINARIO: 1001101000100100100, ID EN HEXADECIMAL: 4D124, FACTORIAL SUMA: 12963097176472289280
Libro_325462, ID: 325462, Suma ID: 22, ID EN BINARIO: 1001111011101010110, ID EN HEXADECIMAL: 4F756, FACTORIAL SUMA: 17196083355034583040
Libro_326629, ID: 326629, Suma ID: 28, ID EN BINARIO: 1001111101111100101, ID EN HEXADECIMAL: 4FBE5, FACTORIAL SUMA: 12478583540742619136
Libro_329194, ID: 329194, Suma ID: 28, ID EN BINARIO: 1010000010111101010, ID EN HEXADECIMAL: 505EA, FACTORIAL SUMA: 12478583540742619136
Libro_329778, ID: 329778, Suma ID: 36, ID EN BINARIO: 1010000100000110010, ID EN HEXADECIMAL: 50832, FACTORIAL SUMA: 9003737871877668864
Libro_333414, ID: 333414, Suma ID: 18, ID EN BINARIO: 1010001011001100110, ID EN HEXADECIMAL: 51666, FACTORIAL SUMA: 6402373705728000
Libro_334797, ID: 334797, Suma ID: 33, ID EN BINARIO: 1010001101111001101, ID EN HEXADECIMAL: 51BCD, FACTORIAL SUMA: 3400198294675128320
Libro_335561, ID: 335561, Suma ID: 23, ID EN BINARIO: 1010001111011001001, ID EN HEXADECIMAL: 51EC9, FACTORIAL SUMA: 8128291617894825984
Libro_337258, ID: 337258, Suma ID: 28, ID EN BINARIO: 1010010010101101010, ID EN HEXADECIMAL: 5256A, FACTORIAL SUMA: 12478583540742619136
Libro_338159, ID: 338159, Suma ID: 29, ID EN BINARIO: 1010010100011101111, ID EN HEXADECIMAL: 528EF, FACTORIAL SUMA: 11390785281054474240
Libro_338328, ID: 338328, Suma ID: 27, ID EN BINARIO: 1010010100110011000, ID EN HEXADECIMAL: 52998, FACTORIAL SUMA: 12963097176472289280
Libro_338944, ID: 338944, Suma ID: 31, ID EN BINARIO: 1010010110000000000, ID EN HEXADECIMAL: 52C00, FACTORIAL SUMA: 4999213071378415616
Libro_341772, ID: 341772, Suma ID: 24, ID EN BINARIO: 1010011011100001100, ID EN HEXADECIMAL: 5370C, FACTORIAL SUMA: 10611558092380307456
Libro_342445, ID: 342445, Suma ID: 22, ID EN BINARIO: 1010011100110101101, ID EN HEXADECIMAL: 539AD, FACTORIAL SUMA: 17196083355034583040
Libro_342862, ID: 342862, Suma ID: 25, ID EN BINARIO: 1010011101101001110, ID EN HEXADECIMAL: 53B4E, FACTORIAL SUMA: 7034535277573963776
Libro_343153, ID: 343153, Suma ID: 19, ID EN BINARIO: 1010011110001110001, ID EN HEXADECIMAL: 53C71, FACTORIAL SUMA: 121645100408832000
Libro_343523, ID: 343523, Suma ID: 20, ID EN BINARIO: 1010011110111100011, ID EN HEXADECIMAL: 53DE3, FACTORIAL SUMA: 2432902008176640000
Libro_351455, ID: 351455, Suma ID: 23, ID EN BINARIO: 1010101110011011111, ID EN HEXADECIMAL: 55CDF, FACTORIAL SUMA: 8128291617894825984
Libro_353892, ID: 353892, Suma ID: 30, ID EN BINARIO: 1010110011001100100, ID EN HEXADECIMAL: 56664, FACTORIAL SUMA: 9682165104862298112
Libro_354164, ID: 354164, Suma ID: 23, ID EN BINARIO: 1010110011101110100, ID EN HEXADECIMAL: 56774, FACTORIAL SUMA: 8128291617894825984
Libro_355815, ID: 355815, Suma ID: 27, ID EN BINARIO: 1010110110111100111, ID EN HEXADECIMAL: 56DE7, FACTORIAL SUMA: 12963097176472289280
Libro_356596, ID: 356596, Suma ID: 34, ID EN BINARIO: 1010111000011110100, ID EN HEXADECIMAL: 570F4, FACTORIAL SUMA: 4926277576697053184
Libro_361992, ID: 361992, Suma ID: 30, ID EN BINARIO: 1011000011000001000, ID EN HEXADECIMAL: 58608, FACTORIAL SUMA: 9682165104862298112
Libro_365556, ID: 365556, Suma ID: 30, ID EN BINARIO: 1011001001111110100, ID EN HEXADECIMAL: 593F4, FACTORIAL SUMA: 9682165104862298112
Libro_371187, ID: 371187, Suma ID: 27, ID EN BINARIO: 1011010100111110011, ID EN HEXADECIMAL: 5A9F3, FACTORIAL SUMA: 12963097176472289280
Libro_372376, ID: 372376, Suma ID: 28, ID EN BINARIO: 1011010111010011000, ID EN HEXADECIMAL: 5AE98, FACTORIAL SUMA: 12478583540742619136
Libro_374781, ID: 374781, Suma ID: 30, ID EN BINARIO: 1011011011111111101, ID EN HEXADECIMAL: 5B7FD, FACTORIAL SUMA: 9682165104862298112
Libro_377152, ID: 377152, Suma ID: 25, ID EN BINARIO: 1011100000101000000, ID EN HEXADECIMAL: 5C140, FACTORIAL SUMA: 7034535277573963776
Libro_384725, ID: 384725, Suma ID: 29, ID EN BINARIO: 1011101111011010101, ID EN HEXADECIMAL: 5DED5, FACTORIAL SUMA: 11390785281054474240
Libro_386314, ID: 386314, Suma ID: 25, ID EN BINARIO: 1011110010100001010, ID EN HEXADECIMAL: 5E50A, FACTORIAL SUMA: 7034535277573963776
Libro_392864, ID: 392864, Suma ID: 32, ID EN BINARIO: 1011111111010100000, ID EN HEXADECIMAL: 5FEA0, FACTORIAL SUMA: 12400865694432886784
Libro_393493, ID: 393493, Suma ID: 31, ID EN BINARIO: 1100000000100010101, ID EN HEXADECIMAL: 60115, FACTORIAL SUMA: 4999213071378415616
Libro_394121, ID: 394121, Suma ID: 20, ID EN BINARIO: 1100000001110001001, ID EN HEXADECIMAL: 60389, FACTORIAL SUMA: 2432902008176640000
Libro_395548, ID: 395548, Suma ID: 34, ID EN BINARIO: 1100000100100011100, ID EN HEXADECIMAL: 6091C, FACTORIAL SUMA: 4926277576697053184
Libro_411225, ID: 411225, Suma ID: 15, ID EN BINARIO: 1100100011001011001, ID EN HEXADECIMAL: 64659, FACTORIAL SUMA: 1307674368000
Libro_413755, ID: 413755, Suma ID: 25, ID EN BINARIO: 1100101000000111011, ID EN HEXADECIMAL: 6503B, FACTORIAL SUMA: 7034535277573963776
Libro_429365, ID: 429365, Suma ID: 29, ID EN BINARIO: 1101000110100110101, ID EN HEXADECIMAL: 68D35, FACTORIAL SUMA: 11390785281054474240
Libro_431566, ID: 431566, Suma ID: 25, ID EN BINARIO: 1101001010111001110, ID EN HEXADECIMAL: 695CE, FACTORIAL SUMA: 7034535277573963776
Libro_431722, ID: 431722, Suma ID: 19, ID EN BINARIO: 1101001011001101010, ID EN HEXADECIMAL: 6966A, FACTORIAL SUMA: 121645100408832000
Libro_433268, ID: 433268, Suma ID: 26, ID EN BINARIO: 1101001110001110100, ID EN HEXADECIMAL: 69C74, FACTORIAL SUMA: 16877220553537093632
Libro_434437, ID: 434437, Suma ID: 25, ID EN BINARIO: 1101010000100000101, ID EN HEXADECIMAL: 6A105, FACTORIAL SUMA: 7034535277573963776
Libro_438734, ID: 438734, Suma ID: 29, ID EN BINARIO: 1101011000111001110, ID EN HEXADECIMAL: 6B1CE, FACTORIAL SUMA: 11390785281054474240
Libro_439955, ID: 439955, Suma ID: 35, ID EN BINARIO: 1101011011010010011, ID EN HEXADECIMAL: 6B693, FACTORIAL SUMA: 6399018521010896896
Libro_442451, ID: 442451, Suma ID: 20, ID EN BINARIO: 1101100000001010011, ID EN HEXADECIMAL: 6C053, FACTORIAL SUMA: 2432902008176640000
Libro_445816, ID: 445816, Suma ID: 28, ID EN BINARIO: 1101100110101111000, ID EN HEXADECIMAL: 6CD78, FACTORIAL SUMA: 12478583540742619136
Libro_454464, ID: 454464, Suma ID: 27, ID EN BINARIO: 1101110111101000000, ID EN HEXADECIMAL: 6EF40, FACTORIAL SUMA: 12963097176472289280
Libro_455535, ID: 455535, Suma ID: 27, ID EN BINARIO: 1101111001101101111, ID EN HEXADECIMAL: 6F36F, FACTORIAL SUMA: 12963097176472289280
Libro_459334, ID: 459334, Suma ID: 28, ID EN BINARIO: 1110000001001000110, ID EN HEXADECIMAL: 70246, FACTORIAL SUMA: 12478583540742619136
Libro_461575, ID: 461575, Suma ID: 28, ID EN BINARIO: 1110000101100000111, ID EN HEXADECIMAL: 70B07, FACTORIAL SUMA: 12478583540742619136
Libro_461844, ID: 461844, Suma ID: 27, ID EN BINARIO: 1110000110000010100, ID EN HEXADECIMAL: 70C14, FACTORIAL SUMA: 12963097176472289280
Libro_462348, ID: 462348, Suma ID: 27, ID EN BINARIO: 1110000111000001100, ID EN HEXADECIMAL: 70E0C, FACTORIAL SUMA: 12963097176472289280
Libro_465392, ID: 465392, Suma ID: 29, ID EN BINARIO: 1110001100111110000, ID EN HEXADECIMAL: 719F0, FACTORIAL SUMA: 11390785281054474240
Libro_468124, ID: 468124, Suma ID: 25, ID EN BINARIO: 1110010010010011100, ID EN HEXADECIMAL: 7249C, FACTORIAL SUMA: 7034535277573963776
Libro_474372, ID: 474372, Suma ID: 27, ID EN BINARIO: 1110011110100000100, ID EN HEXADECIMAL: 73D04, FACTORIAL SUMA: 12963097176472289280
Libro_475174, ID: 475174, Suma ID: 28, ID EN BINARIO: 1110100000000100110, ID EN HEXADECIMAL: 74026, FACTORIAL SUMA: 12478583540742619136
Libro_478461, ID: 478461, Suma ID: 30, ID EN BINARIO: 1110100110011111101, ID EN HEXADECIMAL: 74CFD, FACTORIAL SUMA: 9682165104862298112
Libro_479949, ID: 479949, Suma ID: 42, ID EN BINARIO: 1110101001011001101, ID EN HEXADECIMAL: 752CD, FACTORIAL SUMA: 7538058755741581312
Libro_481315, ID: 481315, Suma ID: 22, ID EN BINARIO: 1110101100000100011, ID EN HEXADECIMAL: 75823, FACTORIAL SUMA: 17196083355034583040
