Grupo B
Libro_112844, ID: 112844, Suma ID: 20, ID EN BINARIO: 11011100011001100, ID EN HEXADECIMAL: 1B8CC, FACTORIAL SUMA: 2432902008176640000
Libro_115927, ID: 115927, Suma ID: 25, ID EN BINARIO: 11100010011010111, ID EN HEXADECIMAL: 1C4D7, FACTORIAL SUMA: 7034535277573963776
Libro_122458, ID: 122458, Suma ID: 22, ID EN BINARIO: 11101111001011010, ID EN HEXADECIMAL: 1DE5A, FACTORIAL SUMA: 17196083355034583040
Libro_124549, ID: 124549, Suma ID: 25, ID EN BINARIO: 11110011010000101, ID EN HEXADECIMAL: 1E685, FACTORIAL SUMA: 7034535277573963776
Libro_124914, ID: 124914, Suma ID: 21, ID EN BINARIO: 11110011111110010, ID EN HEXADECIMAL: 1E7F2, FACTORIAL SUMA: 14197454024290336768
Libro_126333, ID: 126333, Suma ID: 18, ID EN BINARIO: 11110110101111101, ID EN HEXADECIMAL: 1ED7D, FACTORIAL SUMA: 6402373705728000
Libro_126982, ID: 126982, Suma ID: 28, ID EN BINARIO: 11111000000000110, ID EN HEXADECIMAL: 1F006, FACTORIAL SUMA: 12478583540742619136
Libro_127167, ID: 127167, Suma ID: 24, ID EN BINARIO: 11111000010111111, ID EN HEXADECIMAL: 1F0BF, FACTORIAL SUMA: 10611558092380307456
Libro_127495, ID: 127495, Suma ID: 28, ID EN BINARIO: 11111001000000111, ID EN HEXADECIMAL: 1F207, FACTORIAL SUMA: 12478583540742619136
Libro_131523, ID: 131523, Suma ID: 15, ID EN BINARIO: 100000000111000011, ID EN HEXADECIMAL: 201C3, FACTORIAL SUMA: 1307674368000
Libro_133382, ID: 133382, Suma ID: 20, ID EN BINARIO: 100000100100000110, ID EN HEXADECIMAL: 20906, FACTORIAL SUMA: 2432902008176640000
Libro_138535, ID: 138535, Suma ID: 25, ID EN BINARIO: 100001110100100111, ID EN HEXADECIMAL: 21D27, FACTORIAL SUMA: 7034535277573963776
Libro_141693, ID: 141693, Suma ID: 24, ID EN BINARIO: 100010100101111101, ID EN HEXADECIMAL: 2297D, FACTORIAL SUMA: 10611558092380307456
Libro_141893, ID: 141893, Suma ID: 26, ID EN BINARIO: 100010101001000101, ID EN HEXADECIMAL: 22A45, FACTORIAL SUMA: 16877220553537093632
Libro_144728, ID: 144728, Suma ID: 26, ID EN BINARIO: 100011010101011000, ID EN HEXADECIMAL: 23558, FACTORIAL SUMA: 16877220553537093632
Libro_145362, ID: 145362, Suma ID: 21, ID EN BINARIO: 100011011111010010, ID EN HEXADECIMAL: 237D2, FACTORIAL SUMA: 14197454024290336768
Libro_146585, ID: 146585, Suma ID: 29, ID EN BINARIO: 100011110010011001, ID EN HEXADECIMAL: 23C99, FACTORIAL SUMA: 11390785281054474240
Libro_147873, ID: 147873, Suma ID: 30, ID EN BINARIO: 100100000110100001, ID EN HEXADECIMAL: 241A1, FACTORIAL SUMA: 9682165104862298112
Libro_148486, ID: 148486, Suma ID: 31, ID EN BINARIO: 100100010000000110, ID EN HEXADECIMAL: 24406, FACTORIAL SUMA: 4999213071378415616
Libro_154131, ID: 154131, Suma ID: 15, ID EN BINARIO: 100101101000010011, ID EN HEXADECIMAL: 25A13, FACTORIAL SUMA: 1307674368000
Libro_154261, ID: 154261, Suma ID: 19, ID EN BINARIO: 100101101010010101, ID EN HEXADECIMAL: 25A95, FACTORIAL SUMA: 121645100408832000
Libro_156682, ID: 156682, Suma ID: 28, ID EN BINARIO: 100110010000001010, ID EN HEXADECIMAL: 2640A, FACTORIAL SUMA: 12478583540742619136
Libro_157296, ID: 157296, Suma ID: 30, ID EN BINARIO: 100110011001110000, ID EN HEXADECIMAL: 26670, FACTORIAL SUMA: 9682165104862298112
Libro_158129, ID: 158129, Suma ID: 26, ID EN BINARIO: 100110100110110001, ID EN HEXADECIMAL: 269B1, FACTORIAL SUMA: 16877220553537093632
Libro_159462, ID: 159462, Suma ID: 27, ID EN BINARIO: 100110111011100110, ID EN HEXADECIMAL: 26EE6, FACTORIAL SUMA: 12963097176472289280
Libro_161114, ID: 161114, Suma ID: 14, ID EN BINARIO: 100111010101011010, ID EN HEXADECIMAL: 2755A, FACTORIAL SUMA: 87178291200
Libro_161156, ID: 161156, Suma ID: 20, ID EN BINARIO: 100111010110000100, ID EN HEXADECIMAL: 27584, FACTORIAL SUMA: 2432902008176640000
Libro_162631, ID: 162631, Suma ID: 19, ID EN BINARIO: 100111101101000111, ID EN HEXADECIMAL: 27B47, FACTORIAL SUMA: 121645100408832000
Libro_163156, ID: 163156, Suma ID: 22, ID EN BINARIO: 100111110101010100, ID EN HEXADECIMAL: 27D54, FACTORIAL SUMA: 17196083355034583040
Libro_164566, ID: 164566, Suma ID: 28, ID EN BINARIO: 101000001011010110, ID EN HEXADECIMAL: 282D6, FACTORIAL SUMA: 12478583540742619136
Libro_164846, ID: 164846, Suma ID: 29, ID EN BINARIO: 101000001111101110, ID EN HEXADECIMAL: 283EE, FACTORIAL SUMA: 11390785281054474240
Libro_172259, ID: 172259, Suma ID: 26, ID EN BINARIO: 101010000011100011, ID EN HEXADECIMAL: 2A0E3, FACTORIAL SUMA: 16877220553537093632
Libro_174544, ID: 174544, Suma ID: 25, ID EN BINARIO: 101010100111010000, ID EN HEXADECIMAL: 2A9D0, FACTORIAL SUMA: 7034535277573963776
Libro_174829, ID: 174829, Suma ID: 31, ID EN BINARIO: 101010101011101101, ID EN HEXADECIMAL: 2AAED, FACTORIAL SUMA: 4999213071378415616
Libro_176186, ID: 176186, Suma ID: 29, ID EN BINARIO: 101011000000111010, ID EN HEXADECIMAL: 2B03A, FACTORIAL SUMA: 11390785281054474240
Libro_176325, ID: 176325, Suma ID: 24, ID EN BINARIO: 101011000011000101, ID EN HEXADECIMAL: 2B0C5, FACTORIAL SUMA: 10611558092380307456
Libro_178948, ID: 178948, Suma ID: 37, ID EN BINARIO: 101011101100000100, ID EN HEXADECIMAL: 2BB04, FACTORIAL SUMA: 1096907932701818880
Libro_185633, ID: 185633, Suma ID: 26, ID EN BINARIO: 101101010100100001, ID EN HEXADECIMAL: 2D521, FACTORIAL SUMA: 16877220553537093632
Libro_189982, ID: 189982, Suma ID: 37, ID EN BINARIO: 101110011000011110, ID EN HEXADECIMAL: 2E61E, FACTORIAL SUMA: 1096907932701818880
Libro_191121, ID: 191121, Suma ID: 15, ID EN BINARIO: 101110101010010001, ID EN HEXADECIMAL: 2EA91, FACTORIAL SUMA: 1307674368000
Libro_192325, ID: 192325, Suma ID: 22, ID EN BINARIO: 101110111101000101, ID EN HEXADECIMAL: 2EF45, FACTORIAL SUMA: 17196083355034583040
Libro_196217, ID: 196217, Suma ID: 26, ID EN BINARIO: 101111111001111001, ID EN HEXADECIMAL: 2FE79, FACTORIAL SUMA: 16877220553537093632
Libro_198482, ID: 198482, Suma ID: 32, ID EN BINARIO: 110000011101010010, ID EN HEXADECIMAL: 30752, FACTORIAL SUMA: 12400865694432886784
Libro_198664, ID: 198664, Suma ID: 34, ID EN BINARIO: 110000100000001000, ID EN HEXADECIMAL: 30808, FACTORIAL SUMA: 4926277576697053184
Libro_211516, ID: 211516, Suma ID: 16, ID EN BINARIO: 110011101000111100, ID EN HEXADECIMAL: 33A3C, FACTORIAL SUMA: 20922789888000
Libro_215819, ID: 215819, Suma ID: 26, ID EN BINARIO: 110100101100001011, ID EN HEXADECIMAL: 34B0B, FACTORIAL SUMA: 16877220553537093632
Libro_217331, ID: 217331, Suma ID: 17, ID EN BINARIO: 110101000011110011, ID EN HEXADECIMAL: 350F3, FACTORIAL SUMA: 355687428096000
Libro_217955, ID: 217955, Suma ID: 29, ID EN BINARIO: 110101001101100011, ID EN HEXADECIMAL: 35363, FACTORIAL SUMA: 11390785281054474240
Libro_219961, ID: 219961, Suma ID: 28, ID EN BINARIO: 110101101100111001, ID EN HEXADECIMAL: 35B39, FACTORIAL SUMA: 12478583540742619136
Libro_223557, ID: 223557, Suma ID: 24, ID EN BINARIO: 110110100101000101, ID EN HEXADECIMAL: 36945, FACTORIAL SUMA: 10611558092380307456
Libro_228817, ID: 228817, Suma ID: 28, ID EN BINARIO: 110111110111010001, ID EN HEXADECIMAL: 37DD1, FACTORIAL SUMA: 12478583540742619136
Libro_229551, ID: 229551, Suma ID: 24, ID EN BINARIO: 111000000010101111, ID EN HEXADECIMAL: 380AF, FACTORIAL SUMA: 10611558092380307456
Libro_232536, ID: 232536, Suma ID: 21, ID EN BINARIO: 111000110001011000, ID EN HEXADECIMAL: 38C58, FACTORIAL SUMA: 14197454024290336768
Libro_233422, ID: 233422, Suma ID: 16, ID EN BINARIO: 111000111111001110, ID EN HEXADECIMAL: 38FCE, FACTORIAL SUMA: 20922789888000
Libro_233474, ID: 233474, Suma ID: 23, ID EN BINARIO: 111001000000000010, ID EN HEXADECIMAL: 39002, FACTORIAL SUMA: 8128291617894825984
