Grupo C
Libro_112984, ID: 112984, Suma ID: 25, ID EN BINARIO: 11011100101011000, ID EN HEXADECIMAL: 1B958, FACTORIAL SUMA: 7034535277573963776
Libro_114458, ID: 114458, Suma ID: 23, ID EN BINARIO: 11011111100011010, ID EN HEXADECIMAL: 1BF1A, FACTORIAL SUMA: 8128291617894825984
Libro_115353, ID: 115353, Suma ID: 18, ID EN BINARIO: 11100001010011001, ID EN HEXADECIMAL: 1C299, FACTORIAL SUMA: 6402373705728000
Libro_117347, ID: 117347, Suma ID: 23, ID EN BINARIO: 11100101001100011, ID EN HEXADECIMAL: 1CA63, FACTORIAL SUMA: 8128291617894825984
Libro_117798, ID: 117798, Suma ID: 33, ID EN BINARIO: 11100110000100110, ID EN HEXADECIMAL: 1CC26, FACTORIAL SUMA: 3400198294675128320
Libro_122819, ID: 122819, Suma ID: 23, ID EN BINARIO: 11101111111000011, ID EN HEXADECIMAL: 1DFC3, FACTORIAL SUMA: 8128291617894825984
Libro_124835, ID: 124835, Suma ID: 23, ID EN BINARIO: 11110011110100011, ID EN HEXADECIMAL: 1E7A3, FACTORIAL SUMA: 8128291617894825984
Libro_125664, ID: 125664, Suma ID: 24, ID EN BINARIO: 11110101011100000, ID EN HEXADECIMAL: 1EAE0, FACTORIAL SUMA: 10611558092380307456
Libro_126252, ID: 126252, Suma ID: 18, ID EN BINARIO: 11110110100101100, ID EN HEXADECIMAL: 1ED2C, FACTORIAL SUMA: 6402373705728000
Libro_127646, ID: 127646, Suma ID: 26, ID EN BINARIO: 11111001010011110, ID EN HEXADECIMAL: 1F29E, FACTORIAL SUMA: 16877220553537093632
Libro_131793, ID: 131793, Suma ID: 24, ID EN BINARIO: 100000001011010001, ID EN HEXADECIMAL: 202D1, FACTORIAL SUMA: 10611558092380307456
Libro_134614, ID: 134614, Suma ID: 19, ID EN BINARIO: 100000110111010110, ID EN HEXADECIMAL: 20DD6, FACTORIAL SUMA: 121645100408832000
Libro_135592, ID: 135592, Suma ID: 25, ID EN BINARIO: 100001000110101000, ID EN HEXADECIMAL: 211A8, FACTORIAL SUMA: 7034535277573963776
Libro_136314, ID: 136314, Suma ID: 18, ID EN BINARIO: 100001010001111010, ID EN HEXADECIMAL: 2147A, FACTORIAL SUMA: 6402373705728000
