Grupo D
Libro_115312, ID: 115312, Suma ID: 13, ID EN BINARIO: 11100001001110000, ID EN HEXADECIMAL: 1C270, FACTORIAL SUMA: 6227020800
Libro_116896, ID: 116896, Suma ID: 31, ID EN BINARIO: 11100100010100000, ID EN HEXADECIMAL: 1C8A0, FACTORIAL SUMA: 4999213071378415616
Libro_118245, ID: 118245, Suma ID: 21, ID EN BINARIO: 11100110111100101, ID EN HEXADECIMAL: 1CDE5, FACTORIAL SUMA: 14197454024290336768
Libro_121832, ID: 121832, Suma ID: 17, ID EN BINARIO: 11101101111101000, ID EN HEXADECIMAL: 1DBE8, FACTORIAL SUMA: 355687428096000
Libro_123813, ID: 123813, Suma ID: 18, ID EN BINARIO: 11110001110100101, ID EN HEXADECIMAL: 1E3A5, FACTORIAL SUMA: 6402373705728000
Libro_129994, ID: 129994, Suma ID: 34, ID EN BINARIO: 11111101111001010, ID EN HEXADECIMAL: 1FBCA, FACTORIAL SUMA: 4926277576697053184
Libro_132697, ID: 132697, Suma ID: 28, ID EN BINARIO: 100000011001011001, ID EN HEXADECIMAL: 20659, FACTORIAL SUMA: 12478583540742619136
Libro_133487, ID: 133487, Suma ID: 26, ID EN BINARIO: 100000100101101111, ID EN HEXADECIMAL: 2096F, FACTORIAL SUMA: 16877220553537093632
Libro_137262, ID: 137262, Suma ID: 21, ID EN BINARIO: 100001100000101110, ID EN HEXADECIMAL: 2182E, FACTORIAL SUMA: 14197454024290336768
Libro_137557, ID: 137557, Suma ID: 28, ID EN BINARIO: 100001100101010101, ID EN HEXADECIMAL: 21955, FACTORIAL SUMA: 12478583540742619136
Libro_138638, ID: 138638, Suma ID: 29, ID EN BINARIO: 100001110110001110, ID EN HEXADECIMAL: 21D8E, FACTORIAL SUMA: 11390785281054474240
Libro_138829, ID: 138829, Suma ID: 31, ID EN BINARIO: 100001111001001101, ID EN HEXADECIMAL: 21E4D, FACTORIAL SUMA: 4999213071378415616
Libro_138986, ID: 138986, Suma ID: 35, ID EN BINARIO: 100001111011101010, ID EN HEXADECIMAL: 21EEA, FACTORIAL SUMA: 6399018521010896896
Libro_139314, ID: 139314, Suma ID: 21, ID EN BINARIO: 100010000000110010, ID EN HEXADECIMAL: 22032, FACTORIAL SUMA: 14197454024290336768
Libro_139626, ID: 139626, Suma ID: 27, ID EN BINARIO: 100010000101101010, ID EN HEXADECIMAL: 2216A, FACTORIAL SUMA: 12963097176472289280
Libro_143391, ID: 143391, Suma ID: 21, ID EN BINARIO: 100011000000011111, ID EN HEXADECIMAL: 2301F, FACTORIAL SUMA: 14197454024290336768
Libro_145796, ID: 145796, Suma ID: 32, ID EN BINARIO: 100011100110000100, ID EN HEXADECIMAL: 23984, FACTORIAL SUMA: 12400865694432886784
Libro_146847, ID: 146847, Suma ID: 30, ID EN BINARIO: 100011110110011111, ID EN HEXADECIMAL: 23D9F, FACTORIAL SUMA: 9682165104862298112
Libro_152712, ID: 152712, Suma ID: 18, ID EN BINARIO: 100101010010001000, ID EN HEXADECIMAL: 25488, FACTORIAL SUMA: 6402373705728000
Libro_157571, ID: 157571, Suma ID: 26, ID EN BINARIO: 100110011110000011, ID EN HEXADECIMAL: 26783, FACTORIAL SUMA: 16877220553537093632
Libro_157942, ID: 157942, Suma ID: 28, ID EN BINARIO: 100110100011110110, ID EN HEXADECIMAL: 268F6, FACTORIAL SUMA: 12478583540742619136
Libro_161281, ID: 161281, Suma ID: 19, ID EN BINARIO: 100111011000000001, ID EN HEXADECIMAL: 27601, FACTORIAL SUMA: 121645100408832000
Libro_161541, ID: 161541, Suma ID: 18, ID EN BINARIO: 100111011100000101, ID EN HEXADECIMAL: 27705, FACTORIAL SUMA: 6402373705728000
Libro_162571, ID: 162571, Suma ID: 22, ID EN BINARIO: 100111101100001011, ID EN HEXADECIMAL: 27B0B, FACTORIAL SUMA: 17196083355034583040
Libro_164374, ID: 164374, Suma ID: 25, ID EN BINARIO: 101000001000010110, ID EN HEXADECIMAL: 28216, FACTORIAL SUMA: 7034535277573963776
Libro_165824, ID: 165824, Suma ID: 26, ID EN BINARIO: 101000011111000000, ID EN HEXADECIMAL: 287C0, FACTORIAL SUMA: 16877220553537093632
Libro_172558, ID: 172558, Suma ID: 28, ID EN BINARIO: 101010001000001110, ID EN HEXADECIMAL: 2A20E, FACTORIAL SUMA: 12478583540742619136
Libro_172681, ID: 172681, Suma ID: 25, ID EN BINARIO: 101010001010001001, ID EN HEXADECIMAL: 2A289, FACTORIAL SUMA: 7034535277573963776
Libro_173581, ID: 173581, Suma ID: 25, ID EN BINARIO: 101010011000001101, ID EN HEXADECIMAL: 2A60D, FACTORIAL SUMA: 7034535277573963776
Libro_174438, ID: 174438, Suma ID: 27, ID EN BINARIO: 101010100101100110, ID EN HEXADECIMAL: 2A966, FACTORIAL SUMA: 12963097176472289280
Libro_184624, ID: 184624, Suma ID: 25, ID EN BINARIO: 101101000100110000, ID EN HEXADECIMAL: 2D130, FACTORIAL SUMA: 7034535277573963776
Libro_188417, ID: 188417, Suma ID: 29, ID EN BINARIO: 101110000000000001, ID EN HEXADECIMAL: 2E001, FACTORIAL SUMA: 11390785281054474240
Libro_191423, ID: 191423, Suma ID: 20, ID EN BINARIO: 101110101110111111, ID EN HEXADECIMAL: 2EBBF, FACTORIAL SUMA: 2432902008176640000
Libro_192774, ID: 192774, Suma ID: 30, ID EN BINARIO: 101111000100000110, ID EN HEXADECIMAL: 2F106, FACTORIAL SUMA: 9682165104862298112
Libro_211877, ID: 211877, Suma ID: 26, ID EN BINARIO: 110011101110100101, ID EN HEXADECIMAL: 33BA5, FACTORIAL SUMA: 16877220553537093632
Libro_212417, ID: 212417, Suma ID: 17, ID EN BINARIO: 110011110111000001, ID EN HEXADECIMAL: 33DC1, FACTORIAL SUMA: 355687428096000
