Grupo F
Libro_114277, ID: 114277, Suma ID: 22, ID EN BINARIO: 11011111001100101, ID EN HEXADECIMAL: 1BE65, FACTORIAL SUMA: 17196083355034583040
Libro_119628, ID: 119628, Suma ID: 27, ID EN BINARIO: 11101001101001100, ID EN HEXADECIMAL: 1D34C, FACTORIAL SUMA: 12963097176472289280
Libro_121381, ID: 121381, Suma ID: 16, ID EN BINARIO: 11101101000100101, ID EN HEXADECIMAL: 1DA25, FACTORIAL SUMA: 20922789888000
Libro_122199, ID: 122199, Suma ID: 24, ID EN BINARIO: 11101110101010111, ID EN HEXADECIMAL: 1DD57, FACTORIAL SUMA: 10611558092380307456
Libro_126281, ID: 126281, Suma ID: 20, ID EN BINARIO: 11110110101001001, ID EN HEXADECIMAL: 1ED49, FACTORIAL SUMA: 2432902008176640000
Libro_126418, ID: 126418, Suma ID: 22, ID EN BINARIO: 11110110111010010, ID EN HEXADECIMAL: 1EDD2, FACTORIAL SUMA: 17196083355034583040
Libro_127238, ID: 127238, Suma ID: 23, ID EN BINARIO: 11111000100000110, ID EN HEXADECIMAL: 1F106, FACTORIAL SUMA: 8128291617894825984
Libro_131227, ID: 131227, Suma ID: 16, ID EN BINARIO: 100000000010011011, ID EN HEXADECIMAL: 2009B, FACTORIAL SUMA: 20922789888000
Libro_135588, ID: 135588, Suma ID: 30, ID EN BINARIO: 100001000110100100, ID EN HEXADECIMAL: 211A4, FACTORIAL SUMA: 9682165104862298112
Libro_137364, ID: 137364, Suma ID: 24, ID EN BINARIO: 100001100010010100, ID EN HEXADECIMAL: 21894, FACTORIAL SUMA: 10611558092380307456
Libro_139666, ID: 139666, Suma ID: 31, ID EN BINARIO: 100010000110010010, ID EN HEXADECIMAL: 22192, FACTORIAL SUMA: 4999213071378415616
Libro_142934, ID: 142934, Suma ID: 23, ID EN BINARIO: 100010111001010110, ID EN HEXADECIMAL: 22E56, FACTORIAL SUMA: 8128291617894825984
Libro_143794, ID: 143794, Suma ID: 28, ID EN BINARIO: 100011000110110010, ID EN HEXADECIMAL: 231B2, FACTORIAL SUMA: 12478583540742619136
Libro_146399, ID: 146399, Suma ID: 32, ID EN BINARIO: 100011101111011111, ID EN HEXADECIMAL: 23BDF, FACTORIAL SUMA: 12400865694432886784
Libro_146752, ID: 146752, Suma ID: 25, ID EN BINARIO: 100011110101000000, ID EN HEXADECIMAL: 23D40, FACTORIAL SUMA: 7034535277573963776
Libro_149595, ID: 149595, Suma ID: 33, ID EN BINARIO: 100100100001011011, ID EN HEXADECIMAL: 2485B, FACTORIAL SUMA: 3400198294675128320
Libro_153125, ID: 153125, Suma ID: 17, ID EN BINARIO: 100101011000100101, ID EN HEXADECIMAL: 25625, FACTORIAL SUMA: 355687428096000
Libro_153677, ID: 153677, Suma ID: 29, ID EN BINARIO: 100101100001001101, ID EN HEXADECIMAL: 2584D, FACTORIAL SUMA: 11390785281054474240
Libro_153845, ID: 153845, Suma ID: 26, ID EN BINARIO: 100101100011110101, ID EN HEXADECIMAL: 258F5, FACTORIAL SUMA: 16877220553537093632
Libro_154357, ID: 154357, Suma ID: 25, ID EN BINARIO: 100101101011110101, ID EN HEXADECIMAL: 25AF5, FACTORIAL SUMA: 7034535277573963776
Libro_155294, ID: 155294, Suma ID: 26, ID EN BINARIO: 100101111010011110, ID EN HEXADECIMAL: 25E9E, FACTORIAL SUMA: 16877220553537093632
Libro_156268, ID: 156268, Suma ID: 28, ID EN BINARIO: 100110001001101100, ID EN HEXADECIMAL: 2626C, FACTORIAL SUMA: 12478583540742619136
Libro_159233, ID: 159233, Suma ID: 23, ID EN BINARIO: 100110111000000001, ID EN HEXADECIMAL: 26E01, FACTORIAL SUMA: 8128291617894825984
Libro_167364, ID: 167364, Suma ID: 27, ID EN BINARIO: 101000110111000100, ID EN HEXADECIMAL: 28DC4, FACTORIAL SUMA: 12963097176472289280
Libro_167445, ID: 167445, Suma ID: 27, ID EN BINARIO: 101000111000010101, ID EN HEXADECIMAL: 28E15, FACTORIAL SUMA: 12963097176472289280
Libro_167776, ID: 167776, Suma ID: 34, ID EN BINARIO: 101000111101100000, ID EN HEXADECIMAL: 28F60, FACTORIAL SUMA: 4926277576697053184
Libro_169434, ID: 169434, Suma ID: 27, ID EN BINARIO: 101001010111011010, ID EN HEXADECIMAL: 295DA, FACTORIAL SUMA: 12963097176472289280
Libro_171817, ID: 171817, Suma ID: 25, ID EN BINARIO: 101001111100101001, ID EN HEXADECIMAL: 29F29, FACTORIAL SUMA: 7034535277573963776
Libro_172541, ID: 172541, Suma ID: 20, ID EN BINARIO: 101010000111111101, ID EN HEXADECIMAL: 2A1FD, FACTORIAL SUMA: 2432902008176640000
