Grupo G
Libro_111395, ID: 111395, Suma ID: 20, ID EN BINARIO: 11011001100100011, ID EN HEXADECIMAL: 1B323, FACTORIAL SUMA: 2432902008176640000
Libro_113422, ID: 113422, Suma ID: 13, ID EN BINARIO: 11011101100001110, ID EN HEXADECIMAL: 1BB0E, FACTORIAL SUMA: 6227020800
Libro_114785, ID: 114785, Suma ID: 26, ID EN BINARIO: 11100000001100001, ID EN HEXADECIMAL: 1C061, FACTORIAL SUMA: 16877220553537093632
Libro_114859, ID: 114859, Suma ID: 28, ID EN BINARIO: 11100000010101011, ID EN HEXADECIMAL: 1C0AB, FACTORIAL SUMA: 12478583540742619136
Libro_115954, ID: 115954, Suma ID: 25, ID EN BINARIO: 11100010011110010, ID EN HEXADECIMAL: 1C4F2, FACTORIAL SUMA: 7034535277573963776
Libro_118693, ID: 118693, Suma ID: 28, ID EN BINARIO: 11100111110100101, ID EN HEXADECIMAL: 1CFA5, FACTORIAL SUMA: 12478583540742619136
Libro_119548, ID: 119548, Suma ID: 28, ID EN BINARIO: 11101001011111100, ID EN HEXADECIMAL: 1D2FC, FACTORIAL SUMA: 12478583540742619136
Libro_124479, ID: 124479, Suma ID: 27, ID EN BINARIO: 11110011000111111, ID EN HEXADECIMAL: 1E63F, FACTORIAL SUMA: 12963097176472289280
Libro_128575, ID: 128575, Suma ID: 28, ID EN BINARIO: 11111011000111111, ID EN HEXADECIMAL: 1F63F, FACTORIAL SUMA: 12478583540742619136
Libro_132149, ID: 132149, Suma ID: 20, ID EN BINARIO: 100000010000110101, ID EN HEXADECIMAL: 20435, FACTORIAL SUMA: 2432902008176640000
Libro_134435, ID: 134435, Suma ID: 20, ID EN BINARIO: 100000110100100011, ID EN HEXADECIMAL: 20D23, FACTORIAL SUMA: 2432902008176640000
Libro_136919, ID: 136919, Suma ID: 29, ID EN BINARIO: 100001011011010111, ID EN HEXADECIMAL: 216D7, FACTORIAL SUMA: 11390785281054474240
Libro_142264, ID: 142264, Suma ID: 19, ID EN BINARIO: 100010101110111000, ID EN HEXADECIMAL: 22BB8, FACTORIAL SUMA: 121645100408832000
Libro_148865, ID: 148865, Suma ID: 32, ID EN BINARIO: 100100010110000001, ID EN HEXADECIMAL: 24581, FACTORIAL SUMA: 12400865694432886784
Libro_149791, ID: 149791, Suma ID: 31, ID EN BINARIO: 100100100100011111, ID EN HEXADECIMAL: 2491F, FACTORIAL SUMA: 4999213071378415616
Libro_164989, ID: 164989, Suma ID: 37, ID EN BINARIO: 101000010001111101, ID EN HEXADECIMAL: 2847D, FACTORIAL SUMA: 1096907932701818880
Libro_166974, ID: 166974, Suma ID: 33, ID EN BINARIO: 101000110000111110, ID EN HEXADECIMAL: 28C3E, FACTORIAL SUMA: 3400198294675128320
Libro_167636, ID: 167636, Suma ID: 29, ID EN BINARIO: 101000111011010100, ID EN HEXADECIMAL: 28ED4, FACTORIAL SUMA: 11390785281054474240
Libro_167955, ID: 167955, Suma ID: 33, ID EN BINARIO: 101001000000010011, ID EN HEXADECIMAL: 29013, FACTORIAL SUMA: 3400198294675128320
Libro_171829, ID: 171829, Suma ID: 28, ID EN BINARIO: 101001111100110101, ID EN HEXADECIMAL: 29F35, FACTORIAL SUMA: 12478583540742619136
