Grupo H
Libro_112615, ID: 112615, Suma ID: 16, ID EN BINARIO: 11011011111100111, ID EN HEXADECIMAL: 1B7E7, FACTORIAL SUMA: 20922789888000
Libro_115797, ID: 115797, Suma ID: 30, ID EN BINARIO: 11100010001010101, ID EN HEXADECIMAL: 1C455, FACTORIAL SUMA: 9682165104862298112
Libro_119752, ID: 119752, Suma ID: 25, ID EN BINARIO: 11101001111001000, ID EN HEXADECIMAL: 1D3C8, FACTORIAL SUMA: 7034535277573963776
Libro_122366, ID: 122366, Suma ID: 20, ID EN BINARIO: 11101110111111110, ID EN HEXADECIMAL: 1DDFE, FACTORIAL SUMA: 2432902008176640000
Libro_122467, ID: 122467, Suma ID: 22, ID EN BINARIO: 11101111001100011, ID EN HEXADECIMAL: 1DE63, FACTORIAL SUMA: 17196083355034583040
Libro_124188, ID: 124188, Suma ID: 24, ID EN BINARIO: 11110010100011100, ID EN HEXADECIMAL: 1E51C, FACTORIAL SUMA: 10611558092380307456
Libro_128897, ID: 128897, Suma ID: 35, ID EN BINARIO: 11111011110000001, ID EN HEXADECIMAL: 1F781, FACTORIAL SUMA: 6399018521010896896
Libro_132175, ID: 132175, Suma ID: 19, ID EN BINARIO: 100000010001001111, ID EN HEXADECIMAL: 2044F, FACTORIAL SUMA: 121645100408832000
Libro_136275, ID: 136275, Suma ID: 24, ID EN BINARIO: 100001010001010011, ID EN HEXADECIMAL: 21453, FACTORIAL SUMA: 10611558092380307456
Libro_137295, ID: 137295, Suma ID: 27, ID EN BINARIO: 100001100001001111, ID EN HEXADECIMAL: 2184F, FACTORIAL SUMA: 12963097176472289280
Libro_145444, ID: 145444, Suma ID: 22, ID EN BINARIO: 100011100000100100, ID EN HEXADECIMAL: 23824, FACTORIAL SUMA: 17196083355034583040
Libro_146715, ID: 146715, Suma ID: 24, ID EN BINARIO: 100011110100011011, ID EN HEXADECIMAL: 23D1B, FACTORIAL SUMA: 10611558092380307456
Libro_149812, ID: 149812, Suma ID: 25, ID EN BINARIO: 100100100100110100, ID EN HEXADECIMAL: 24934, FACTORIAL SUMA: 7034535277573963776
Libro_153935, ID: 153935, Suma ID: 26, ID EN BINARIO: 100101100101001111, ID EN HEXADECIMAL: 2594F, FACTORIAL SUMA: 16877220553537093632
Libro_157282, ID: 157282, Suma ID: 25, ID EN BINARIO: 100110011001100010, ID EN HEXADECIMAL: 26662, FACTORIAL SUMA: 7034535277573963776
